step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
96,0.6271,0.6271,0.9013,-1.5521,0.0278,1.0000
97,0.6555,0.6555,0.8814,-4.4382,0.1081,1.0000
98,0.7173,0.7173,0.8830,-3.6995,0.0769,1.0000
99,0.6435,0.6435,0.8916,-3.2206,0.0465,1.0000
100,0.5402,0.5402,0.9044,-11.1306,0.0517,1.0000
101,0.6247,0.6247,0.9027,-3.5945,0.1510,1.0000
102,0.6549,0.6549,0.8995,-3.9953,0.0166,1.0000
103,0.6134,0.6134,0.8949,-7.1513,0.0391,1.0000
104,0.6388,0.6388,0.8947,-3.4422,0.1315,1.0000
105,0.6514,0.6514,0.8902,-4.6153,0.0813,1.0000
106,0.5931,0.5931,0.8992,-6.6627,0.0893,1.0000
107,0.5940,0.5940,0.9063,-4.0161,0.1553,1.0000
108,0.6375,0.6375,0.8938,-6.0616,0.0641,1.0000
109,0.6124,0.6124,0.8892,-7.3943,0.1077,1.0000
110,0.6511,0.6511,0.9110,-4.0431,0.0112,1.0000
111,0.5640,0.5640,0.9223,-8.0050,0.0590,1.0000
112,0.6246,0.6246,0.8970,-9.7886,0.1994,1.0000
113,0.6096,0.6096,0.9003,-7.0171,0.0689,1.0000
114,0.6453,0.6453,0.9079,-7.9823,0.0635,1.0000
115,0.5646,0.5646,0.9256,-7.1210,0.0259,1.0000
116,0.5563,0.5563,0.9179,-9.7204,0.1700,1.0000
117,0.5723,0.5723,0.9204,-11.6355,0.0871,1.0000
118,0.4741,0.4741,0.9286,-8.2774,0.0000,1.0000
119,0.6404,0.6404,0.8988,-7.4994,0.0707,1.0000
120,0.5978,0.5978,0.9160,-16.0326,0.0374,1.0000
121,0.4909,0.4909,0.9296,-12.9892,0.1436,1.0000
122,0.5719,0.5719,0.9325,-9.2598,0.0035,1.0000
123,0.5618,0.5618,0.9267,-14.9433,0.1268,1.0000
124,0.5015,0.5015,0.9241,-10.2424,0.0358,1.0000
125,0.5660,0.5660,0.9182,-9.9958,0.1594,1.0000
126,0.5242,0.5242,0.9329,-20.3866,0.0779,1.0000
127,0.5557,0.5557,0.9216,-12.6338,0.3669,1.0000
128,0.4546,0.4546,0.9400,-13.8947,0.0968,1.0000
129,0.4940,0.4940,0.9133,-14.9675,0.1623,1.0000
130,0.4778,0.4778,0.9410,-13.5222,0.0157,1.0000
131,0.5443,0.5443,0.9194,-18.8578,0.1201,1.0000
132,0.4756,0.4756,0.9097,-16.6257,0.0494,1.0000
