epoch,step,train_loss,val_loss,lr,tokens_per_sec,elapsed_min
5,8400,1.089862,,0.0003214,8427.3,160.54
5,8500,0.963712,,0.00031942,8542.8,162.39
5,8600,1.04833,,0.00031742,8539.5,164.26
5,8700,1.134748,,0.0003154,8515.6,166.11
5,8770,,1.044032,0.00031397,8488.7,168.42
6,8800,1.072166,,0.00031336,8382.7,169.01
6,8900,1.126116,,0.00031131,8575.4,170.88
6,9000,1.139456,,0.00030924,8334.1,172.77
6,9100,1.12549,,0.00030715,8621.2,174.61
6,9200,1.183139,,0.00030504,8471.4,176.47
6,9300,1.110816,,0.00030292,8524.9,178.34
6,9400,1.011174,,0.00030079,8650.8,180.18
6,9500,1.109589,,0.00029864,8684.1,182.03
6,9600,0.949571,,0.00029647,8472.8,183.92
6,9700,0.979512,,0.00029429,8586.5,185.77
6,9800,0.992026,,0.00029209,8395.2,187.61
6,9900,1.046458,,0.00028988,8703.7,189.45
6,10000,1.031316,,0.00028765,8702.1,191.29
6,10100,1.142809,,0.00028542,8721.6,193.12
6,10200,1.081783,,0.00028317,8632.3,194.95
6,10300,1.019745,,0.0002809,8680.3,196.77
6,10400,1.078534,,0.00027862,8712.2,198.6
6,10500,0.950608,,0.00027634,8650.8,200.43
6,10524,,1.01757,0.00027578,8806.5,201.85
7,10600,1.14952,,0.00027404,8707.9,203.29
7,10700,0.98839,,0.00027172,8727.3,205.1
7,10800,1.1364,,0.0002694,8607.0,206.94
7,10900,0.992509,,0.00026707,8470.3,208.8
7,11000,0.980601,,0.00026472,8496.6,210.66
7,11100,1.102703,,0.00026237,8669.0,212.5
7,11200,1.069319,,0.00026001,8659.0,214.33
7,11300,1.078428,,0.00025763,8702.9,216.15
7,11400,0.993924,,0.00025525,8532.8,217.99
7,11500,1.010191,,0.00025286,8578.7,219.82
7,11600,1.091412,,0.00025046,8608.2,221.66
7,11700,0.971836,,0.00024806,8185.6,223.53
7,11800,1.137116,,0.00024564,8642.8,225.36
7,11900,0.880417,,0.00024322,8683.2,227.18
7,12000,1.101835,,0.0002408,8722.1,229.01
7,12100,1.020593,,0.00023836,8615.3,230.84
7,12200,1.069604,,0.00023592,8440.0,232.68
7,12278,,0.999335,0.00023402,8692.5,235.09
8,12300,1.054135,,0.00023348,8519.0,235.53
8,12400,0.898187,,0.00023103,8610.9,237.36
8,12500,0.976919,,0.00022857,8722.2,239.19
8,12600,1.1334,,0.00022612,8689.5,241.02
8,12700,0.936848,,0.00022365,7056.1,242.99
8,12800,0.977581,,0.00022119,8655.6,244.94
8,12900,0.910037,,0.00021872,8736.9,246.76
8,13000,1.024708,,0.00021624,8658.6,248.6
8,13100,1.045458,,0.00021377,8683.9,250.43
8,13200,0.955588,,0.00021129,8633.2,252.25
8,13300,0.972751,,0.00020881,8577.0,254.1
8,13400,1.092086,,0.00020633,8642.4,255.94
8,13500,1.046245,,0.00020385,8152.3,257.83
8,13600,1.013905,,0.00020137,8606.6,259.69
8,13700,1.00059,,0.00019888,8586.3,261.52
8,13800,0.889506,,0.0001964,8682.6,263.36
8,13900,1.017799,,0.00019392,8623.7,265.21
8,14000,1.072078,,0.00019144,8627.0,267.06
8,14032,,0.977706,0.00019064,8341.9,268.66
9,14100,1.030662,,0.00018896,8713.3,269.93
9,14200,1.001927,,0.00018648,8624.2,271.76
9,14300,1.118394,,0.00018401,8690.3,273.61
9,14400,1.053028,,0.00018153,8646.2,275.44
9,14500,0.990495,,0.00017906,8666.5,277.26
9,14600,0.985386,,0.00017659,8655.3,279.11
9,14700,0.937877,,0.00017413,8599.2,280.94
9,14800,0.907392,,0.00017167,8432.2,282.8
9,14900,0.888027,,0.00016922,8602.9,284.63
9,15000,1.054294,,0.00016677,8648.5,286.47
9,15100,1.026122,,0.00016432,8598.8,288.32
9,15200,0.947736,,0.00016188,8681.4,290.15
9,15300,0.891014,,0.00015945,8579.3,291.99
9,15400,0.917894,,0.00015702,8677.5,293.84
9,15500,1.039359,,0.0001546,8554.1,295.68
9,15600,1.162601,,0.00015218,8442.0,297.53
9,15700,0.962696,,0.00014978,8541.2,299.38
9,15786,,0.958908,0.00014771,8510.8,301.97
10,15800,1.005591,,0.00014738,8514.7,302.27
10,15900,0.977497,,0.00014499,8415.0,304.14
10,16000,1.015343,,0.0001426,8477.7,306.0
10,16100,0.92967,,0.00014023,8349.2,307.9
10,16200,1.069969,,0.00013787,8589.8,309.74
10,16300,0.946063,,0.00013551,8603.9,311.58
10,16400,0.987378,,0.00013317,8589.1,313.44
10,16500,1.019092,,0.00013083,8624.0,315.27
10,16600,0.917755,,0.00012851,8577.2,317.11
10,16700,0.973175,,0.0001262,8622.1,318.96
10,16800,0.968419,,0.00012389,8609.3,320.8
10,16900,0.958143,,0.0001216,8313.3,322.65
10,17000,0.954114,,0.00011933,8636.0,324.49
10,17100,0.902287,,0.00011706,8600.5,326.33
10,17200,0.976113,,0.00011481,8593.5,328.17
10,17300,0.90322,,0.00011257,8608.9,330.01
10,17400,1.080014,,0.00011034,8591.5,331.85
10,17500,0.944155,,0.00010813,8624.6,333.75
10,17540,,0.940366,0.00010725,8637.0,335.48
11,17600,1.037253,,0.00010593,8579.3,336.62
11,17700,0.861156,,0.00010375,8652.9,338.47
11,17800,0.915838,,0.00010158,8548.0,340.31
11,17900,0.996783,,9.943e-05,8495.7,342.17
11,18000,0.870766,,9.729e-05,8410.2,344.07
11,18100,0.933481,,9.517e-05,8657.8,345.88
11,18200,0.860868,,9.306e-05,8397.6,347.72
11,18300,0.952776,,9.097e-05,8719.8,349.55
11,18400,0.932657,,8.89e-05,8620.8,351.38
11,18500,1.028248,,8.684e-05,8524.4,353.24
11,18600,0.840551,,8.481e-05,8730.5,355.07
11,18700,0.9558,,8.278e-05,8425.1,356.94
11,18800,0.838673,,8.078e-05,8479.9,358.82
11,18900,0.934956,,7.88e-05,8762.7,360.64
11,19000,0.99505,,7.683e-05,8637.4,362.46
11,19100,0.852498,,7.489e-05,8658.3,364.3
11,19200,0.937809,,7.296e-05,8684.0,366.12
11,19294,,0.927666,7.117e-05,8496.6,368.89
12,19300,0.865573,,7.105e-05,8657.7,369.02
12,19400,0.958684,,6.916e-05,8743.2,370.84
12,19500,1.116801,,6.73e-05,8369.8,372.69
12,19600,0.964299,,6.545e-05,8700.4,374.5
12,19700,0.953641,,6.362e-05,8699.3,376.32
12,19800,0.961005,,6.182e-05,8660.1,378.16
12,19900,1.066376,,6.003e-05,8712.5,379.98
12,20000,0.986702,,5.827e-05,8705.6,381.8
12,20100,1.033166,,5.653e-05,8726.2,383.63
12,20200,0.896241,,5.481e-05,8760.4,385.44
12,20300,0.893278,,5.312e-05,8726.0,387.26
12,20400,0.99293,,5.144e-05,8718.0,389.09
12,20500,0.935471,,4.979e-05,8717.5,390.9
12,20600,1.076919,,4.816e-05,8469.7,392.73
12,20700,0.988654,,4.656e-05,8745.8,394.54
12,20800,0.869755,,4.498e-05,8654.3,396.36
12,20900,0.918201,,4.342e-05,8713.6,398.19
12,21000,0.916309,,4.189e-05,8316.6,400.07
12,21048,,0.920961,4.116e-05,8787.1,401.97
13,21100,0.880909,,4.038e-05,8598.2,402.98
13,21200,1.017827,,3.89e-05,8463.5,404.84
13,21300,0.927102,,3.744e-05,8767.9,406.66
13,21400,0.931875,,3.601e-05,5171.4,409.6
13,21500,0.87883,,3.46e-05,8382.2,412.13
13,21600,0.89948,,3.322e-05,8688.8,413.95
13,21700,0.948034,,3.186e-05,8767.6,415.77
13,21800,0.96234,,3.053e-05,8313.7,417.62
13,21900,1.023867,,2.922e-05,8720.0,419.43
13,22000,0.90544,,2.794e-05,8735.9,421.23
13,22100,0.954907,,2.669e-05,8704.9,423.05
13,22200,1.079962,,2.547e-05,8712.6,424.86
13,22300,0.866128,,2.427e-05,8773.2,426.66
13,22400,0.963034,,2.31e-05,8817.5,428.48
13,22500,0.871998,,2.195e-05,8816.3,430.28
13,22600,0.918806,,2.083e-05,8742.2,432.09
13,22700,0.952172,,1.974e-05,8732.9,433.91
13,22800,0.853394,,1.868e-05,8746.9,435.71
13,22802,,0.919057,1.866e-05,9023.3,436.82
14,22900,0.847695,,1.765e-05,8598.0,438.69
14,23000,0.734977,,1.664e-05,8465.6,440.55
14,23100,0.930831,,1.567e-05,8542.3,442.42
14,23200,1.001757,,1.472e-05,8535.1,444.32
14,23300,0.992255,,1.38e-05,8407.2,446.19
14,23400,1.089364,,1.291e-05,8713.2,448.06
14,23500,0.751163,,1.204e-05,8807.7,449.84
14,23600,1.011891,,1.121e-05,8773.4,451.65
14,23700,0.980648,,1.04e-05,8559.9,453.5
14,23800,0.85798,,9.63e-06,8764.8,455.33
14,23900,0.925291,,8.88e-06,8748.7,457.13
14,24000,0.924318,,8.17e-06,8739.5,458.96
14,24100,0.905133,,7.48e-06,8832.2,460.77
14,24200,1.03989,,6.82e-06,7584.5,462.68
14,24300,0.957173,,6.19e-06,8629.4,464.67
14,24400,0.917484,,5.59e-06,8837.3,466.46
14,24500,0.967919,,5.03e-06,8737.9,468.29
14,24556,,0.906118,4.72e-06,8803.3,470.28
15,24600,0.925099,,4.49e-06,8677.0,471.1
15,24700,1.039245,,3.98e-06,8686.8,472.91
15,24800,0.839471,,3.5e-06,8852.4,474.71
15,24900,1.007979,,3.06e-06,8842.2,476.5
15,25000,0.985653,,2.64e-06,8742.8,478.31
15,25100,0.87779,,2.25e-06,8823.7,480.1
15,25200,0.89901,,1.9e-06,8820.7,481.89
15,25300,1.036537,,1.57e-06,7487.4,483.93
15,25400,0.886931,,1.27e-06,8174.8,485.87
15,25500,0.980886,,1.01e-06,8188.7,487.88
15,25600,0.86445,,7.8e-07,7675.6,490.01
15,25700,0.926096,,5.7e-07,7743.5,492.1
15,25800,0.918947,,4e-07,7649.5,494.17
15,25900,0.946149,,2.6e-07,8105.8,496.19
15,26000,0.889367,,1.5e-07,8004.6,498.18
15,26100,0.811108,,7e-08,7255.9,500.38
15,26200,0.904531,,2e-08,7418.1,502.48
15,26300,0.756167,,0.0,7260.2,504.57
15,26310,,0.914914,0.0,7546.7,506.03
