epoch,step,train_loss,val_loss,lr,tokens_per_sec,elapsed_min
1,6150,0.746523,,0.00018998,977.7,290.79
1,6200,0.721169,,0.00018975,948.1,292.87
1,6250,0.887455,,0.00018951,1012.4,294.88
1,6300,0.599468,,0.00018928,960.9,297.0
2,6350,0.669582,,0.00018904,993.2,299.03
2,6400,0.754422,,0.00018879,925.2,301.19
2,6450,0.786428,,0.00018855,977.0,303.26
2,6500,0.487674,,0.0001883,983.3,305.32
2,6550,0.801339,,0.00018805,968.0,307.39
2,6600,0.57192,,0.0001878,962.8,309.49
2,6650,0.619362,,0.00018754,927.9,311.63
2,6700,0.737027,,0.00018729,933.0,313.77
2,6750,0.830396,,0.00018703,986.5,315.83
2,6800,0.718994,,0.00018677,945.7,317.96
2,6850,0.678951,,0.0001865,1026.7,320.0
2,6900,0.626945,,0.00018623,984.4,322.1
2,6950,0.900787,,0.00018596,1002.5,324.14
2,7000,0.752553,,0.00018569,965.5,326.21
2,7050,0.837653,,0.00018542,1016.0,328.26
2,7100,0.759665,,0.00018514,944.9,330.36
2,7150,0.675038,,0.00018486,978.8,332.43
2,7200,0.739807,,0.00018458,952.7,334.54
2,7250,0.729582,,0.0001843,1008.1,336.62
2,7300,0.970123,,0.00018401,999.8,338.67
2,7350,0.511172,,0.00018372,983.9,340.75
2,7400,0.6588,,0.00018343,937.0,342.86
2,7450,0.62899,,0.00018314,960.0,344.96
2,7500,0.557316,,0.00018284,969.1,347.01
2,7500,,0.668428,0.00018284,969.1,353.0
2,7550,0.624226,,0.00018254,886.1,355.94
2,7600,0.433118,,0.00018224,931.2,358.12
2,7650,0.697275,,0.00018194,911.9,360.37
2,7700,1.093748,,0.00018164,895.9,362.66
2,7750,0.800854,,0.00018133,930.5,364.83
2,7800,0.532741,,0.00018102,968.9,366.96
2,7850,0.632507,,0.00018071,1017.2,369.0
2,7900,0.546851,,0.00018039,1003.4,371.1
2,7950,0.599034,,0.00018008,939.0,373.23
2,8000,0.745337,,0.00017976,952.2,375.32
2,8050,0.606482,,0.00017944,995.2,377.39
2,8100,0.646199,,0.00017911,977.0,379.46
2,8150,0.6405,,0.00017879,919.1,381.68
2,8200,0.611122,,0.00017846,947.1,383.81
2,8250,0.789444,,0.00017813,927.3,385.95
2,8300,0.745976,,0.0001778,1002.4,388.01
2,8350,0.728418,,0.00017747,999.7,390.07
2,8400,0.718001,,0.00017713,915.7,392.38
2,8450,0.60186,,0.00017679,968.9,394.49
2,8500,0.528265,,0.00017645,947.3,396.62
2,8550,0.721894,,0.00017611,974.8,398.72
2,8600,0.64866,,0.00017576,943.7,400.82
2,8650,0.597411,,0.00017542,967.9,402.88
2,8700,0.663067,,0.00017507,951.6,404.96
2,8750,0.630375,,0.00017472,1021.7,406.97
2,8800,0.804674,,0.00017436,985.9,409.03
2,8850,0.69811,,0.00017401,953.3,411.11
2,8900,0.716344,,0.00017365,925.5,413.24
2,8950,0.594454,,0.00017329,919.8,415.38
2,9000,0.889164,,0.00017293,975.1,417.42
2,9000,,0.63718,0.00017293,975.1,423.41
2,9050,0.587043,,0.00017256,955.3,425.95
2,9100,0.633632,,0.0001722,990.1,427.96
2,9150,0.752428,,0.00017183,948.4,430.07
2,9200,0.642887,,0.00017146,975.5,432.13
2,9250,0.539764,,0.00017109,981.1,434.19
2,9300,0.579596,,0.00017072,950.4,436.32
2,9350,0.366142,,0.00017034,940.9,438.42
2,9400,0.86694,,0.00016996,946.8,440.51
2,9450,0.828532,,0.00016958,955.4,442.61
2,9500,0.717139,,0.0001692,946.9,444.69
2,9550,0.557409,,0.00016882,960.0,446.79
2,9600,0.576084,,0.00016843,990.5,448.83
2,9650,0.644165,,0.00016805,948.0,450.96
2,9700,0.578423,,0.00016766,921.5,453.12
2,9750,0.688194,,0.00016726,911.0,455.29
2,9800,0.669507,,0.00016687,964.5,457.38
2,9850,0.71432,,0.00016648,933.2,459.53
2,9900,0.693116,,0.00016608,985.1,461.62
2,9950,0.575885,,0.00016568,912.2,463.81
2,10000,0.688843,,0.00016528,869.2,466.06
2,10050,0.634468,,0.00016488,877.0,468.51
2,10100,0.725879,,0.00016447,889.7,470.76
2,10150,0.690256,,0.00016407,910.0,472.97
2,10200,0.586516,,0.00016366,918.4,475.16
2,10250,0.60935,,0.00016325,980.7,477.28
2,10300,0.63166,,0.00016284,974.5,479.37
2,10350,0.679962,,0.00016243,981.3,481.44
2,10400,0.554456,,0.00016201,899.2,483.64
2,10450,0.718355,,0.00016159,935.5,485.79
2,10500,0.57256,,0.00016118,944.7,487.88
2,10500,,0.642237,0.00016118,944.7,494.07
2,10550,0.566593,,0.00016076,891.8,496.34
2,10600,0.769426,,0.00016033,904.7,498.6
2,10650,0.591926,,0.00015991,924.5,500.82
2,10700,0.991928,,0.00015949,907.4,503.03
2,10750,0.615799,,0.00015906,855.4,505.44
2,10800,0.829402,,0.00015863,846.5,507.8
2,10850,0.803983,,0.0001582,824.3,510.2
2,10900,0.467695,,0.00015777,902.9,512.57
2,10950,0.649147,,0.00015733,895.7,514.89
2,11000,0.64806,,0.0001569,837.0,517.27
2,11050,0.612831,,0.00015646,852.0,519.58
2,11100,0.666966,,0.00015602,842.3,522.33
2,11150,0.669221,,0.00015559,748.9,524.97
2,11200,0.588521,,0.00015514,834.0,527.5
2,11250,0.761104,,0.0001547,746.1,530.27
2,11300,0.646898,,0.00015426,771.1,532.9
2,11350,0.510368,,0.00015381,832.9,535.47
2,11400,0.531908,,0.00015336,769.5,538.3
2,11450,0.6782,,0.00015291,849.0,540.66
2,11500,0.719866,,0.00015246,850.4,543.06
2,11550,0.675799,,0.00015201,821.9,545.48
2,11600,0.680474,,0.00015156,828.1,547.89
2,11650,0.659033,,0.0001511,817.9,550.34
2,11700,0.551396,,0.00015065,945.1,552.49
2,11750,0.565443,,0.00015019,852.5,554.75
2,11800,0.631799,,0.00014973,876.0,557.09
2,11850,0.70723,,0.00014927,840.3,559.5
2,11900,0.564739,,0.00014881,819.5,561.87
2,11950,0.734328,,0.00014834,869.1,564.21
2,12000,0.765627,,0.00014788,853.0,566.67
2,12000,,0.629304,0.00014788,853.0,573.7
2,12050,0.728056,,0.00014741,809.3,576.37
2,12100,0.759669,,0.00014695,847.5,578.77
2,12150,0.707164,,0.00014648,802.0,581.27
2,12200,0.642223,,0.00014601,868.2,583.7
2,12250,0.596219,,0.00014554,793.8,586.22
2,12300,0.718604,,0.00014506,880.7,588.6
2,12350,0.675224,,0.00014459,899.5,590.97
2,12400,0.656458,,0.00014412,914.7,593.28
2,12450,0.738605,,0.00014364,823.4,595.72
2,12500,0.577148,,0.00014316,815.3,598.13
2,12550,0.534232,,0.00014268,790.9,600.65
2,12600,0.685877,,0.0001422,811.7,603.08
3,12650,0.636794,,0.00014172,797.3,605.57
3,12700,0.726933,,0.00014124,808.2,608.0
3,12750,0.841803,,0.00014076,789.7,610.58
3,12800,0.592174,,0.00014027,779.5,613.16
3,12850,0.511828,,0.00013979,790.2,615.79
3,12900,0.573183,,0.0001393,812.0,618.48
3,12950,0.521765,,0.00013881,801.4,621.0
3,13000,0.714439,,0.00013832,841.8,623.47
3,13050,0.926739,,0.00013783,855.4,625.84
3,13100,0.690737,,0.00013734,805.2,628.42
3,13150,0.561709,,0.00013685,740.6,631.04
3,13200,0.483751,,0.00013636,768.3,633.65
3,13250,0.585834,,0.00013586,743.7,636.38
3,13300,0.746716,,0.00013537,742.9,639.06
3,13350,0.608839,,0.00013487,799.5,641.56
3,13400,0.640629,,0.00013437,830.3,643.98
3,13450,0.532557,,0.00013388,803.1,646.48
3,13500,0.630399,,0.00013338,951.1,648.67
3,13500,,0.62977,0.00013338,951.1,655.01
3,13550,0.527047,,0.00013288,889.8,657.27
3,13600,0.640546,,0.00013238,926.9,659.43
3,13650,0.654591,,0.00013187,895.8,661.66
3,13700,0.545382,,0.00013137,958.1,663.81
3,13750,0.595336,,0.00013087,891.6,666.07
3,13800,0.520912,,0.00013036,962.0,668.19
3,13850,0.537048,,0.00012986,900.6,670.44
3,13900,0.661553,,0.00012935,944.9,672.61
3,13950,0.74142,,0.00012884,972.5,674.77
3,14000,0.494431,,0.00012834,954.8,676.95
3,14050,0.579648,,0.00012783,956.8,679.09
3,14100,0.744631,,0.00012732,929.3,681.26
