epoch,step,train_loss,val_loss,lr,tokens_per_sec,elapsed_min
9,5600,0.474869,,0.00017963,1707.1,145.2
9,5650,0.536669,,0.00017924,1654.7,146.4
10,5700,0.42381,,0.00017885,1536.9,147.7
10,5750,0.435913,,0.00017845,1686.5,148.92
10,5800,0.393157,,0.00017806,1646.5,150.12
10,5850,0.426491,,0.00017766,1606.6,151.36
10,5900,0.504643,,0.00017726,1553.3,152.66
10,5950,0.651443,,0.00017685,1582.6,153.89
10,6000,0.66358,,0.00017644,1580.5,155.13
10,6000,,0.435521,0.00017644,1580.5,156.27
10,6050,0.423992,,0.00017603,1475.1,157.76
10,6100,0.332887,,0.00017561,1585.1,158.98
10,6150,0.441825,,0.00017519,1591.5,160.23
10,6200,0.629312,,0.00017477,1490.2,161.55
10,6250,0.397481,,0.00017435,1571.4,162.82
10,6300,0.449739,,0.00017392,1568.7,164.07
11,6350,0.324151,,0.00017349,1590.3,165.34
11,6400,0.50277,,0.00017306,1590.4,166.58
11,6450,0.453717,,0.00017262,1605.3,167.83
11,6500,0.446761,,0.00017218,1616.4,169.08
11,6500,,0.423941,0.00017218,1616.4,170.19
11,6550,0.478956,,0.00017174,1455.9,171.65
11,6600,0.513622,,0.00017129,1628.1,172.82
11,6650,0.474425,,0.00017085,1578.0,174.08
11,6700,0.569483,,0.00017039,1605.6,175.32
11,6750,0.413439,,0.00016994,1585.3,176.58
11,6800,0.475335,,0.00016948,1602.2,177.82
11,6850,0.369581,,0.00016902,1600.8,179.06
11,6900,0.496864,,0.00016856,1626.9,180.29
12,6950,0.406311,,0.0001681,1634.5,181.5
12,7000,0.54965,,0.00016763,1626.8,182.73
12,7000,,0.412272,0.00016763,1626.8,183.79
12,7050,0.347179,,0.00016716,1534.4,185.22
12,7100,0.309469,,0.00016669,1708.7,186.36
12,7150,0.447279,,0.00016621,1640.9,187.58
12,7200,0.535628,,0.00016573,1642.3,188.78
12,7250,0.30343,,0.00016525,1585.2,190.02
12,7300,0.619108,,0.00016477,1594.1,191.27
12,7350,0.454169,,0.00016428,1580.0,192.54
12,7400,0.296183,,0.00016379,1585.2,193.8
12,7450,0.494366,,0.0001633,1586.6,195.05
12,7500,0.563856,,0.0001628,1595.7,196.3
12,7500,,0.416803,0.0001628,1595.7,197.42
12,7550,0.556968,,0.00016231,1554.9,198.74
13,7600,0.376112,,0.00016181,1396.6,200.14
13,7650,0.530349,,0.0001613,1597.3,201.37
13,7700,0.251785,,0.0001608,1560.3,202.65
13,7750,0.484113,,0.00016029,1551.6,203.92
13,7800,0.459839,,0.00015978,1579.4,205.18
13,7850,0.394003,,0.00015927,1588.8,206.44
13,7900,0.441739,,0.00015876,1542.7,207.72
13,7950,0.492987,,0.00015824,1581.6,208.99
13,8000,0.528811,,0.00015772,1585.3,210.24
13,8000,,0.432062,0.00015772,1585.3,211.36
13,8050,0.581525,,0.0001572,1535.1,212.7
13,8100,0.625009,,0.00015668,1575.0,213.97
13,8150,0.593262,,0.00015615,1570.5,215.23
14,8200,0.44458,,0.00015562,1513.5,216.52
14,8250,0.33206,,0.00015509,1571.1,217.8
14,8300,0.5285,,0.00015456,1580.5,219.07
14,8350,0.548108,,0.00015403,1575.2,220.34
14,8400,0.51856,,0.00015349,1535.0,221.63
14,8450,0.520661,,0.00015295,1553.8,222.91
14,8500,0.47557,,0.00015241,1572.8,224.18
14,8500,,0.413382,0.00015241,1572.8,225.31
14,8550,0.366753,,0.00015186,1523.3,226.64
14,8600,0.469824,,0.00015132,1586.8,227.89
14,8650,0.413032,,0.00015077,1576.4,229.16
14,8700,0.346459,,0.00015022,1567.7,230.42
14,8750,0.494384,,0.00014967,1490.6,231.74
14,8800,0.495531,,0.00014911,1513.4,233.05
15,8850,0.580851,,0.00014856,1592.7,234.29
15,8900,0.48474,,0.000148,1565.8,235.56
15,8950,0.554629,,0.00014744,1723.2,236.66
15,9000,0.409984,,0.00014688,1542.6,237.97
15,9000,,0.407529,0.00014688,1542.6,239.1
15,9050,0.442124,,0.00014632,1456.7,240.58
15,9100,0.519056,,0.00014575,1563.4,241.8
15,9150,0.431154,,0.00014518,1607.0,243.03
15,9200,0.302836,,0.00014461,1604.1,244.27
15,9250,0.508598,,0.00014404,1590.7,245.52
15,9300,0.425733,,0.00014347,1559.0,246.79
15,9350,0.4546,,0.0001429,1605.7,248.03
15,9400,0.457548,,0.00014232,1590.1,249.28
15,9450,0.440432,,0.00014174,1578.8,250.55
16,9500,0.355439,,0.00014116,1503.8,251.98
16,9500,,0.403804,0.00014116,1503.8,253.06
16,9550,0.366154,,0.00014058,1484.2,254.47
16,9600,0.464929,,0.00014,1597.4,255.68
16,9650,0.479409,,0.00013941,1553.8,256.96
16,9700,0.467387,,0.00013883,1569.3,258.25
16,9750,0.319263,,0.00013824,1609.9,259.48
16,9800,0.395015,,0.00013765,1569.0,260.74
16,9850,0.418657,,0.00013706,1550.5,262.01
16,9900,0.418298,,0.00013647,1595.6,263.26
16,9950,0.414286,,0.00013587,1573.4,264.53
16,10000,0.438359,,0.00013528,1563.1,265.79
16,10000,,0.398561,0.00013528,1563.1,266.93
16,10050,0.640739,,0.00013468,1484.5,268.4
17,10100,0.440186,,0.00013408,1594.8,269.61
17,10150,0.511609,,0.00013348,1557.7,270.87
17,10200,0.48567,,0.00013288,1599.6,272.13
17,10250,0.669542,,0.00013228,1586.1,273.39
17,10300,0.518428,,0.00013168,1579.0,274.66
17,10350,0.456732,,0.00013107,1563.8,275.92
17,10400,0.333624,,0.00013047,1524.1,277.21
17,10450,0.54,,0.00012986,1591.4,278.46
17,10500,0.449633,,0.00012925,1560.4,279.73
17,10500,,0.395528,0.00012925,1560.4,280.85
17,10550,0.271101,,0.00012864,1473.2,282.34
