step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
94,0.4683,0.4683,0.9296,-6.3080,-30.0322,1.0000
95,0.4544,0.4544,0.9502,-11.9471,-38.7031,1.0000
96,0.3980,0.3980,0.9560,-11.9130,-54.8110,1.0000
97,0.4048,0.4048,0.9483,-9.5956,-42.1968,1.0000
98,0.4066,0.4066,0.9374,-4.4928,-32.5435,1.0000
99,0.3574,0.3574,0.9569,-12.2074,-57.8360,1.0000
100,0.3989,0.3989,0.9440,-10.4894,-52.7273,1.0000
101,0.3663,0.3663,0.9596,-5.0349,-55.5781,1.0000
102,0.3319,0.3319,0.9531,-6.2515,-76.6990,1.0000
103,0.3480,0.3480,0.9648,-11.5982,-53.3417,1.0000
104,0.3450,0.3450,0.9693,-9.2571,-62.6687,1.0000
105,0.3585,0.3585,0.9652,-7.9852,-81.5139,1.0000
106,0.3014,0.3014,0.9678,-6.1794,-84.0109,1.0000
107,0.3604,0.3604,0.9647,-8.6181,-63.1507,1.0000
108,0.3751,0.3751,0.9692,-7.0051,-60.4242,1.0000
109,0.3581,0.3581,0.9636,-15.0607,-88.0685,1.0000
110,0.3539,0.3539,0.9552,-11.6929,-94.2260,1.0000
111,0.3424,0.3424,0.9669,-13.1812,-96.2313,1.0000
112,0.3132,0.3132,0.9613,-8.6133,-85.9811,1.0000
113,0.3685,0.3685,0.9736,-13.8981,-113.5733,1.0000
114,0.3065,0.3065,0.9678,-15.6838,-133.6554,1.0000
115,0.3558,0.3558,0.9667,-12.2394,-121.8895,1.0000
116,0.3223,0.3223,0.9726,-11.3734,-130.4166,1.0000
117,0.3452,0.3452,0.9625,-9.6637,-116.3678,1.0000
118,0.3292,0.3292,0.9708,-13.4039,-133.4614,1.0000
119,0.3583,0.3583,0.9732,-10.8579,-134.1389,1.0000
120,0.3281,0.3281,0.9754,-17.3679,-178.4710,1.0000
121,0.3561,0.3561,0.9703,-12.4315,-109.2546,1.0000
122,0.3454,0.3454,0.9733,-11.5025,-137.2981,1.0000
123,0.3263,0.3263,0.9719,-14.7105,-162.3245,1.0000
124,0.3534,0.3534,0.9731,-17.1616,-162.3685,1.0000
125,0.3601,0.3601,0.9697,-13.2580,-162.8650,1.0000
126,0.3921,0.3921,0.9698,-16.6539,-198.3306,1.0000
127,0.3947,0.3947,0.9772,-18.5042,-179.7167,1.0000
128,0.3213,0.3213,0.9696,-12.9575,-201.5790,1.0000
129,0.3397,0.3397,0.9636,-18.8260,-206.7459,1.0000
130,0.3095,0.3095,0.9806,-14.6304,-175.8429,1.0000
131,0.3722,0.3722,0.9667,-26.6470,-230.1124,1.0000
132,0.3581,0.3581,0.9740,-26.2821,-214.7924,1.0000
133,0.3141,0.3141,0.9674,-16.2492,-219.8925,1.0000
134,0.3606,0.3606,0.9681,-14.4601,-182.3795,1.0000
135,0.3291,0.3291,0.9698,-17.3124,-212.1284,1.0000
136,0.3270,0.3270,0.9681,-16.3263,-208.2999,1.0000
137,0.3441,0.3441,0.9674,-20.9772,-228.1661,1.0000
138,0.3429,0.3429,0.9739,-24.5991,-247.9811,1.0000
139,0.2886,0.2886,0.9738,-18.4267,-177.9987,1.0000
140,0.3711,0.3711,0.9751,-25.0028,-234.9179,1.0000
141,0.3832,0.3832,0.9667,-26.9417,-294.1375,1.0000
142,0.3955,0.3955,0.9752,-23.0362,-244.5802,1.0000
143,0.3522,0.3522,0.9707,-21.9443,-255.7283,1.0000
144,0.3704,0.3704,0.9724,-19.2886,-241.4617,1.0000
145,0.3444,0.3444,0.9718,-19.0834,-233.1047,1.0000
146,0.3462,0.3462,0.9693,-26.6721,-270.0301,1.0000
147,0.3217,0.3217,0.9692,-25.4687,-259.2715,1.0000
148,0.3693,0.3693,0.9735,-28.7254,-284.1977,1.0000
149,0.3239,0.3239,0.9712,-22.1292,-259.1382,1.0000
150,0.3627,0.3627,0.9714,-28.4365,-302.8961,1.0000
151,0.3656,0.3656,0.9618,-30.6767,-320.3510,1.0000
152,0.3559,0.3559,0.9726,-28.8698,-273.1375,1.0000
153,0.3429,0.3429,0.9697,-27.6968,-268.9675,1.0000
154,0.3809,0.3809,0.9699,-28.1237,-293.9796,1.0000
155,0.3472,0.3472,0.9659,-28.7215,-330.1055,1.0000
156,0.3878,0.3878,0.9735,-27.6339,-285.5536,1.0000
157,0.3632,0.3632,0.9711,-27.4013,-290.3792,1.0000
158,0.3776,0.3776,0.9718,-30.2430,-312.6564,1.0000
159,0.3408,0.3408,0.9565,-33.6040,-339.2291,1.0000
160,0.3922,0.3922,0.9674,-33.7370,-328.3762,1.0000
161,0.3596,0.3596,0.9658,-33.7617,-342.0717,1.0000
162,0.3971,0.3971,0.9508,-32.3811,-346.8032,1.0000
163,0.3495,0.3495,0.9505,-37.4300,-367.5578,1.0000
164,0.3273,0.3273,0.9657,-30.5787,-321.5722,1.0000
165,0.3991,0.3991,0.9496,-35.3155,-358.1621,1.0000
166,0.3783,0.3783,0.9540,-34.6010,-338.9183,1.0000
167,0.3859,0.3859,0.9431,-38.3761,-375.6032,1.0000
168,0.3691,0.3691,0.9628,-32.6389,-347.0456,1.0000
169,0.3585,0.3585,0.9514,-36.1065,-341.9479,1.0000
170,0.3838,0.3838,0.9506,-37.2558,-363.2924,1.0000
171,0.4044,0.4044,0.9308,-39.5317,-398.7702,1.0000
172,0.3716,0.3716,0.9499,-40.8198,-379.3378,1.0000
173,0.4045,0.4045,0.9229,-40.8945,-401.8307,1.0000
174,0.3458,0.3458,0.9655,-37.7977,-366.9374,1.0000
175,0.3455,0.3455,0.9388,-39.9340,-399.9792,1.0000
176,0.3441,0.3441,0.9388,-40.7320,-390.5952,1.0000
177,0.3447,0.3447,0.9285,-41.4185,-391.3533,1.0000
178,0.3753,0.3753,0.9409,-41.0871,-427.1382,1.0000
179,0.3615,0.3615,0.9526,-41.1610,-395.4259,1.0000
180,0.3507,0.3507,0.9484,-37.6853,-389.5121,1.0000
181,0.3113,0.3113,0.9192,-41.5781,-415.0266,1.0000
182,0.3653,0.3653,0.9318,-40.6774,-409.9451,1.0000
183,0.3529,0.3529,0.9401,-42.5304,-426.3670,1.0000
184,0.3081,0.3081,0.9598,-39.7631,-397.2191,1.0000
185,0.3151,0.3151,0.9439,-40.8404,-421.9521,1.0000
186,0.2936,0.2936,0.9146,-44.6984,-453.6568,1.0000
187,0.2803,0.2803,0.9261,-45.8087,-453.6248,1.0000
188,0.2856,0.2856,0.9282,-43.9902,-455.4604,1.0000
189,0.2933,0.2933,0.9418,-42.6710,-429.4193,1.0000
190,0.2779,0.2779,0.9304,-42.2744,-448.5374,1.0000
191,0.2646,0.2646,0.9238,-43.2722,-442.4606,1.0000
192,0.2262,0.2262,0.9142,-47.6704,-459.8649,1.0000
193,0.2877,0.2877,0.9302,-45.9964,-459.0550,1.0000
194,0.2607,0.2607,0.9057,-49.4181,-485.4304,1.0000
195,0.2867,0.2867,0.9494,-43.2900,-452.8694,1.0000
196,0.2503,0.2503,0.9149,-47.6366,-477.0861,1.0000
197,0.2769,0.2769,0.9594,-43.8138,-427.9720,1.0000
198,0.2944,0.2944,0.9353,-45.1596,-454.6319,1.0000
199,0.2778,0.2778,0.9291,-44.0007,-479.5858,1.0000
200,0.2400,0.2400,0.9087,-48.4371,-493.7795,1.0000
