step,mean_qed,mean_mw,mean_reward,mean_diversity,loss,mean_kl,validity
87,0.7485,330.66,1.0485,0.8502,0.0293,0.4087,1.0000
88,0.7822,321.42,1.0751,0.8347,-0.2754,0.0000,1.0000
89,0.7936,320.37,1.0867,0.8413,-0.0221,0.1780,1.0000
90,0.7646,331.52,1.0618,0.8319,-0.0264,0.0000,1.0000
91,0.7959,323.07,1.0886,0.8433,-0.0551,0.0038,1.0000
92,0.7836,334.01,1.0742,0.8299,0.0506,0.0000,1.0000
93,0.7564,332.08,1.0564,0.8356,-0.1110,0.2070,1.0000
94,0.7952,338.30,1.0952,0.8411,-0.1289,0.0000,1.0000
95,0.7705,324.94,1.0705,0.8453,-0.1880,0.5219,1.0000
96,0.7555,331.35,1.0555,0.8306,-0.2160,0.0000,1.0000
97,0.6934,335.64,0.9934,0.8398,-0.0898,0.0000,1.0000
98,0.7991,324.14,1.0991,0.8442,-0.0522,0.0677,1.0000
99,0.7939,326.67,1.0939,0.8343,-0.2075,0.0000,1.0000
100,0.7783,323.94,1.0761,0.8367,-0.3883,0.0000,1.0000
101,0.7230,321.26,1.0137,0.8401,-0.3386,0.0381,1.0000
102,0.7537,327.45,1.0537,0.8351,-0.2555,0.0000,1.0000
103,0.8306,330.63,1.1306,0.8331,-0.1185,0.0000,1.0000
104,0.7811,325.04,1.0757,0.8364,-0.1424,0.0000,1.0000
105,0.7646,326.86,1.0569,0.8290,-0.0479,0.1430,1.0000
106,0.8439,332.73,1.1439,0.8199,-0.0294,0.0000,1.0000
107,0.7990,326.98,1.0990,0.8267,-0.0588,0.0000,1.0000
108,0.8371,331.10,1.1371,0.8152,-0.0117,0.1083,1.0000
109,0.7411,336.72,1.0410,0.8283,-0.2035,0.2878,1.0000
110,0.7901,318.63,1.0821,0.8342,0.0280,0.4340,1.0000
111,0.7853,327.49,1.0830,0.8309,-0.0572,0.1013,1.0000
112,0.8009,334.02,1.1009,0.8283,0.0248,0.5247,1.0000
113,0.7765,332.76,1.0765,0.8380,-0.0206,0.0000,1.0000
114,0.8207,322.32,1.1207,0.8383,-0.0637,0.0000,1.0000
115,0.7822,323.57,1.0822,0.8241,0.0143,0.0000,1.0000
116,0.8194,329.16,1.1194,0.8091,-0.0381,0.0000,1.0000
117,0.7624,329.33,1.0624,0.8367,-0.2990,0.0000,1.0000
118,0.7753,326.52,1.0753,0.8253,0.0123,0.0000,1.0000
119,0.7640,332.64,1.0640,0.8142,-0.0953,0.0000,1.0000
120,0.8127,330.49,1.1127,0.8289,0.0893,0.0000,1.0000
121,0.8021,328.42,1.1020,0.8287,-0.0562,0.0000,1.0000
122,0.7676,327.61,1.0676,0.8444,-0.0608,0.0000,1.0000
123,0.8350,334.43,1.1350,0.8227,-0.0902,0.0000,1.0000
124,0.8330,332.70,1.1330,0.8253,-0.1048,0.0000,1.0000
125,0.7862,326.73,1.0862,0.8213,-0.0301,0.3925,1.0000
126,0.7669,323.75,1.0669,0.8384,-0.1513,0.0000,1.0000
127,0.8110,328.20,1.1067,0.8300,-0.1356,0.0410,1.0000
128,0.8273,336.34,1.1273,0.8045,-0.2345,0.0000,1.0000
