step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
97,0.6938,0.6938,0.8699,-0.0186,0.2248,1.0000
98,0.6963,0.6963,0.8721,0.0672,0.0000,1.0000
99,0.6274,0.6274,0.8831,-0.3992,0.3547,1.0000
100,0.7195,0.7195,0.8696,-0.1142,0.1360,1.0000
101,0.7093,0.7093,0.8662,-0.2461,0.0698,1.0000
102,0.7108,0.7108,0.8720,-0.2571,0.9324,1.0000
103,0.6807,0.6807,0.8671,-0.4427,1.5835,1.0000
104,0.7101,0.7101,0.8684,-0.2805,0.0000,1.0000
105,0.6989,0.6989,0.8550,-0.2610,0.0296,1.0000
106,0.7043,0.7043,0.8630,0.1489,0.1204,1.0000
107,0.6862,0.6862,0.8605,-0.0794,1.3271,1.0000
108,0.7066,0.7066,0.8575,-0.1180,0.0000,1.0000
109,0.7537,0.7537,0.8637,-0.2689,0.4855,1.0000
110,0.6677,0.6677,0.8693,-0.2222,0.1265,1.0000
111,0.7228,0.7228,0.8672,-0.5893,0.2147,1.0000
112,0.6762,0.6762,0.8786,-0.2554,0.4747,1.0000
113,0.7166,0.7166,0.8600,0.1244,0.8477,1.0000
114,0.6310,0.6310,0.8930,-0.4471,1.0419,1.0000
115,0.7071,0.7071,0.8651,-0.5536,0.1399,1.0000
116,0.7449,0.7449,0.8679,-0.0301,0.0000,1.0000
117,0.7382,0.7382,0.8579,-0.2518,0.1972,1.0000
118,0.7286,0.7286,0.8721,-0.1510,1.2077,1.0000
119,0.7154,0.7154,0.8696,-0.4195,0.0000,1.0000
120,0.7042,0.7042,0.8660,-0.4405,0.0232,1.0000
121,0.7062,0.7062,0.8727,-0.3764,2.2551,1.0000
122,0.7047,0.7047,0.8673,-0.3589,0.0000,1.0000
123,0.7122,0.7122,0.8776,0.0321,0.4923,1.0000
124,0.7636,0.7636,0.8703,-0.2520,0.5632,1.0000
125,0.7377,0.7377,0.8648,-0.1790,0.0206,1.0000
126,0.7393,0.7393,0.8618,-0.3450,0.0000,1.0000
127,0.6769,0.6769,0.8772,-0.2960,0.7241,1.0000
